Номер,Линк,Име на читалище,Град/село,Община,Област
0,?act=community&do=detail&id=3666&reg_num=0,тест,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1,?act=community&do=detail&id=2846&reg_num=1,Съзнание 1873г.,СЕЛО БРЕСТОВИЦА,РОДОПИ,ПЛОВДИВ
2,?act=community&do=detail&id=2847&reg_num=2,Иван Вазов-1871,ГРАД СОПОТ,СОПОТ,ПЛОВДИВ
3,?act=community&do=detail&id=3&reg_num=3,Прогрес 1939,СЕЛО СТАРЦЕВО,ЗЛАТОГРАД,СМОЛЯН
4,?act=community&do=detail&id=4&reg_num=4,Петър Богдан Бакшев -1909,ГРАД РАКОВСКИ,РАКОВСКИ,ПЛОВДИВ
5,?act=community&do=detail&id=5&reg_num=5,Христо Ботев 1930 г. - с. Стряма,СЕЛО СТРЯМА,РАКОВСКИ,ПЛОВДИВ
6,?act=community&do=detail&id=6&reg_num=6,Зора,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
7,?act=community&do=detail&id=7&reg_num=7,Съгласие-1890,ГРАД КАВАРНА,КАВАРНА,ДОБРИЧ
8,?act=community&do=detail&id=8&reg_num=8,Братство 1869,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
9,?act=community&do=detail&id=9&reg_num=9,Христо Ботев - 1892,ГРАД БЕЛЕНЕ,БЕЛЕНЕ,ПЛЕВЕН
10,?act=community&do=detail&id=10&reg_num=10,Никола Йонков Вапцаров -1924 г.,ГРАД СТАМБОЛИЙСКИ,СТАМБОЛИЙСКИ,ПЛОВДИВ
11,?act=community&do=detail&id=11&reg_num=11,Зора 1894,ГРАД ШАБЛА,ШАБЛА,ДОБРИЧ
12,?act=community&do=detail&id=12&reg_num=12,Боян Пенев-1949,ГРАД ШУМЕН,ШУМЕН,ШУМЕН
13,?act=community&do=detail&id=13&reg_num=13,Никола Йонков Вапцаров-1866,ГРАД БЛАГОЕВГРАД,БЛАГОЕВГРАД,БЛАГОЕВГРАД
14,?act=community&do=detail&id=14&reg_num=14,Христо Смирненски -1904 г.,ГРАД ВЕТРЕН,СЕПТЕМВРИ,ПАЗАРДЖИК
15,?act=community&do=detail&id=15&reg_num=15,Искра 1975,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
16,?act=community&do=detail&id=16&reg_num=16,Младост -1983 г.,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
17,?act=community&do=detail&id=17&reg_num=17,Йордан Йовков-1870 година,ГРАД ДОБРИЧ,ДОБРИЧ,ДОБРИЧ
18,?act=community&do=detail&id=18&reg_num=18,Паисий Хилендарски -1870,ГРАД БАЛЧИК,БАЛЧИК,ДОБРИЧ
19,?act=community&do=detail&id=19&reg_num=19,Просвета-1865,ГРАД ГОЦЕ ДЕЛЧЕВ,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
20,?act=community&do=detail&id=2855&reg_num=20,Христо Ботев-1911,СЕЛО ЧЕРВЕН БРЕГ,ДУПНИЦА,КЮСТЕНДИЛ
21,?act=community&do=detail&id=20&reg_num=21,Орфееви гори -1870,ГРАД СМОЛЯН,СМОЛЯН,СМОЛЯН
22,?act=community&do=detail&id=21&reg_num=22,Виделина-1862,ГРАД ПАЗАРДЖИК,ПАЗАРДЖИК,ПАЗАРДЖИК
23,?act=community&do=detail&id=22&reg_num=23,Св.Св.Кирил и Методий -1894г.- гр. Първомай,ГРАД ПЪРВОМАЙ,ПЪРВОМАЙ,ПЛОВДИВ
24,?act=community&do=detail&id=2856&reg_num=24,Пробуда -1896 г.,СЕЛО ПОБЕДА,ДОБРИЧКА,ДОБРИЧ
25,?act=community&do=detail&id=23&reg_num=25,Васил Левски -1938,СЕЛО УСОЙКА,БОБОШЕВО,КЮСТЕНДИЛ
26,?act=community&do=detail&id=24&reg_num=26,Просвета-1931,СЕЛО НОВАКОВЦИ,ГАБРОВО,ГАБРОВО
27,?act=community&do=detail&id=25&reg_num=27,Яна Лъскова -1905,ГРАД НЕСЕБЪР,НЕСЕБЪР,БУРГАС
28,?act=community&do=detail&id=26&reg_num=28,Напредък -1869,ГРАД ШУМЕН,ШУМЕН,ШУМЕН
29,?act=community&do=detail&id=27&reg_num=29,Шалом Алейхем -1945 г.,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
30,?act=community&do=detail&id=28&reg_num=30,Иван Вазов -1904 гр. Хисаря,ГРАД ХИСАРЯ,ХИСАРЯ,ПЛОВДИВ
31,?act=community&do=detail&id=29&reg_num=31,Пробуда 1927,СЕЛО САМОРАНОВО,ДУПНИЦА,КЮСТЕНДИЛ
32,?act=community&do=detail&id=30&reg_num=32,Пейо Крачолов Яворов-1978,ГРАД ДУПНИЦА,ДУПНИЦА,КЮСТЕНДИЛ
33,?act=community&do=detail&id=31&reg_num=33,Пенчо Славейков 1871,ГРАД ТРЯВНА,ТРЯВНА,ГАБРОВО
34,?act=community&do=detail&id=32&reg_num=34,Напредък -1904г.-с. Устина,СЕЛО УСТИНА,РОДОПИ,ПЛОВДИВ
35,?act=community&do=detail&id=33&reg_num=35,Отец Паисий -1876 г.- гр. Брезово,ГРАД БРЕЗОВО,БРЕЗОВО,ПЛОВДИВ
36,?act=community&do=detail&id=2857&reg_num=36,Пробуждане-1898 г.,СЕЛО ЛОМНИЦА,ДОБРИЧКА,ДОБРИЧ
37,?act=community&do=detail&id=2858&reg_num=37,Христо Ботев-1941г.,СЕЛО КОЗЛОДУЙЦИ,ДОБРИЧКА,ДОБРИЧ
38,?act=community&do=detail&id=2859&reg_num=38,Васил Левски-1941г.,СЕЛО ТЯНЕВО,ДОБРИЧКА,ДОБРИЧ
39,?act=community&do=detail&id=34&reg_num=39,Йордан Йовков -1941г.,СЕЛО ЗМЕЕВО,БАЛЧИК,ДОБРИЧ
1967,?act=community&do=detail&id=1748&reg_num=1967,Фар -1930,СЕЛО ПАВОЛЧЕ,ВРАЦА,ВРАЦА
1968,?act=community&do=detail&id=1749&reg_num=1968,Н.Й. Вапцаров-1951,СЕЛО МОСТ,КЪРДЖАЛИ,КЪРДЖАЛИ
1969,?act=community&do=detail&id=1750&reg_num=1969,Пробуда - 20.02.1929 г.,СЕЛО СЛИВОВИК,МЕДКОВЕЦ,МОНТАНА
1970,?act=community&do=detail&id=1751&reg_num=1970,Правда -1905,СЕЛО НОВАЧЕНЕ,БОТЕВГРАД,СОФИЯ
1971,?act=community&do=detail&id=1752&reg_num=1971,Пробуда -1928,СЕЛО УСТРЕМ,ТОПОЛОВГРАД,ХАСКОВО
1972,?act=community&do=detail&id=1753&reg_num=1972,Сакар-1928,СЕЛО ХЛЯБОВО,ТОПОЛОВГРАД,ХАСКОВО
1973,?act=community&do=detail&id=1754&reg_num=1973,Васил Левски -1931,СЕЛО СИНАПОВО,ТОПОЛОВГРАД,ХАСКОВО
1974,?act=community&do=detail&id=1755&reg_num=1974,Васил Левски 1934,СЕЛО РАДОВЕЦ,ТОПОЛОВГРАД,ХАСКОВО
1975,?act=community&do=detail&id=1756&reg_num=1975,Развитие -1932,СЕЛО КНЯЖЕВО,ТОПОЛОВГРАД,ХАСКОВО
1976,?act=community&do=detail&id=1757&reg_num=1976,Екзарх Антим І-1936,СЕЛО ОРЕШНИК,ТОПОЛОВГРАД,ХАСКОВО
1977,?act=community&do=detail&id=3053&reg_num=1977,Младежки труд-1956,СЕЛО СТОЛЪТ,СЕВЛИЕВО,ГАБРОВО
1978,?act=community&do=detail&id=1758&reg_num=1978,Св.Св.Кирил и Методий -1894,ГРАД ТОПОЛОВГРАД,ТОПОЛОВГРАД,ХАСКОВО
1979,?act=community&do=detail&id=1759&reg_num=1979,Пробуда -1920,СЕЛО МРАМОР,ТОПОЛОВГРАД,ХАСКОВО
1980,?act=community&do=detail&id=1760&reg_num=1980,Съединение -1943,СЕЛО ИЗВОРОВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
1981,?act=community&do=detail&id=3054&reg_num=1981,Света София -1997,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1982,?act=community&do=detail&id=1761&reg_num=1982,Заря-1914,ГРАД КОСТИНБРОД,КОСТИНБРОД,СОФИЯ
1983,?act=community&do=detail&id=1762&reg_num=1983,Просвета-1927,СЕЛО ЧЕРНИ ВРЪХ,ВЪЛЧЕДРЪМ,МОНТАНА
1984,?act=community&do=detail&id=1763&reg_num=1984,Пробуда-1930,СЕЛО НАВЪСЕН,СИМЕОНОВГРАД,ХАСКОВО
1985,?act=community&do=detail&id=1764&reg_num=1985,Изгрев 1929,СЕЛО ВЕНЕЦ,ВЕНЕЦ,ШУМЕН
1986,?act=community&do=detail&id=1765&reg_num=1986,Просвета -1930,СЕЛО ДРЯНОВО,СИМЕОНОВГРАД,ХАСКОВО
1987,?act=community&do=detail&id=1766&reg_num=1987,Развитие -1893 г.,ГРАД БЕЛОГРАДЧИК,БЕЛОГРАДЧИК,ВИДИН
1988,?act=community&do=detail&id=1767&reg_num=1988,Христо Ботев - 1985,СЕЛО БОЯН БОТЕВО,МИНЕРАЛНИ БАНИ,ХАСКОВО
1989,?act=community&do=detail&id=1768&reg_num=1989,Никола Йонков Вапцаров -1951,СЕЛО ЦЪРКВИЩЕ,ЗЛАТИЦА,СОФИЯ
1990,?act=community&do=detail&id=1769&reg_num=1990,Просвета -1938,СЕЛО КОЧАН,САТОВЧА,БЛАГОЕВГРАД
1991,?act=community&do=detail&id=3055&reg_num=1991,Пробуда-1921,СЕЛО ДОБРОСЛАВЦИ,СТОЛИЧНА,СОФИЯ-ГРАД
1992,?act=community&do=detail&id=1770&reg_num=1992,Христо Ботев-1927,СЕЛО ДРАГАНОВЕЦ,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
1993,?act=community&do=detail&id=1771&reg_num=1993,Васил Левски 1899,СЕЛО ТЪРНАК,БЯЛА СЛАТИНА,ВРАЦА
1994,?act=community&do=detail&id=3056&reg_num=1994,Хармония-1990,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1995,?act=community&do=detail&id=1772&reg_num=1995,Изгрев -1927,СЕЛО СРЕМ,ТОПОЛОВГРАД,ХАСКОВО
1996,?act=community&do=detail&id=1773&reg_num=1996,Петко Рачов Славейков -1958,СЕЛО ПОТОЧНИЦА,КРУМОВГРАД,КЪРДЖАЛИ
1997,?act=community&do=detail&id=1774&reg_num=1997,Никола Д.Найденов,СЕЛО ЯБЛАНИЦА,СВОГЕ,СОФИЯ
1998,?act=community&do=detail&id=1775&reg_num=1998,Просвета-1900,СЕЛО ДЪБРАВИНО,АВРЕН,ВАРНА
1999,?act=community&do=detail&id=1776&reg_num=1999,Гео Милев-1962,ГРАД КЪРДЖАЛИ,КЪРДЖАЛИ,КЪРДЖАЛИ
2000,?act=community&do=detail&id=1777&reg_num=2000,Светлина 1919,СЕЛО АЛДОМИРОВЦИ,СЛИВНИЦА,СОФИЯ
2001,?act=community&do=detail&id=3057&reg_num=2001,Съзнание-1933 г.,СЕЛО ХРИСТИЯНОВО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
2002,?act=community&do=detail&id=1778&reg_num=2002,Просвета,СЕЛО ТЕШОВО,ХАДЖИДИМОВО,БЛАГОЕВГРАД
2003,?act=community&do=detail&id=1779&reg_num=2003,Надежда,СЕЛО НОВА ЛОВЧА,ХАДЖИДИМОВО,БЛАГОЕВГРАД
2004,?act=community&do=detail&id=1780&reg_num=2004,Самосъзнание - 1908,СЕЛО БЯЛА РЕКА,СУХИНДОЛ,ВЕЛИКО ТЪРНОВО
2005,?act=community&do=detail&id=1781&reg_num=2005,Балканска звезда -1896,ГРАД ГАБРОВО,ГАБРОВО,ГАБРОВО
2006,?act=community&do=detail&id=1782&reg_num=2006,Антим Първи-1907,ГРАД ИГНАТИЕВО,АКСАКОВО,ВАРНА
1645,?act=community&do=detail&id=3017&reg_num=1645,Христо Смирненски-1946,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1646,?act=community&do=detail&id=3018&reg_num=1646,Трудолюбие -1899 г.,СЕЛО ГЕОРГИ ДАМЯНОВО,ГЕОРГИ ДАМЯНОВО,МОНТАНА
1647,?act=community&do=detail&id=3019&reg_num=1647,Искра-1959,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1648,?act=community&do=detail&id=1466&reg_num=1648,Христо Ботев-1898,ГРАД РИЛА,РИЛА,КЮСТЕНДИЛ
1649,?act=community&do=detail&id=1467&reg_num=1649,Христо Ботев -1918,СЕЛО СМОЧЕВО,РИЛА,КЮСТЕНДИЛ
1650,?act=community&do=detail&id=1468&reg_num=1650,Просвета -1939,СЕЛО МАРИЦА,САМОКОВ,СОФИЯ
1651,?act=community&do=detail&id=3020&reg_num=1651,Напредък-1929 г.-с.Дълги дел,СЕЛО ДЪЛГИ ДЕЛ,ГЕОРГИ ДАМЯНОВО,МОНТАНА
1652,?act=community&do=detail&id=1469&reg_num=1652,Развитие -1911,СЕЛО ЛЕХЧЕВО,БОЙЧИНОВЦИ,МОНТАНА
1653,?act=community&do=detail&id=1470&reg_num=1653,Добруджа-1930 г.,СЕЛО БЕЛИ ЛОМ,ЛОЗНИЦА,РАЗГРАД
1654,?act=community&do=detail&id=1471&reg_num=1654,Самообразование-1921,СЕЛО СРЕДЕЦ,ОПАН,СТАРА ЗАГОРА
1655,?act=community&do=detail&id=3021&reg_num=1655,Пробуда -1927 - с. Говежда,СЕЛО ГОВЕЖДА,ГЕОРГИ ДАМЯНОВО,МОНТАНА
1656,?act=community&do=detail&id=1472&reg_num=1656,Гюрга Пинджурова-1895,ГРАД ТРЪН,ТРЪН,ПЕРНИК
1657,?act=community&do=detail&id=1473&reg_num=1657,Отец Паисий-1926,СЕЛО ЗЛОКУЧЕНЕ,СЕПТЕМВРИ,ПАЗАРДЖИК
1658,?act=community&do=detail&id=3022&reg_num=1658,Отец Паисий-1928,ГРАД БАНКЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1659,?act=community&do=detail&id=3023&reg_num=1659,Съзнание-1938 г.,СЕЛО РУМАНЯ,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1660,?act=community&do=detail&id=1474&reg_num=1660,Пробуда-1934 Заножене,ГРАД ВЪРШЕЦ,ВЪРШЕЦ,МОНТАНА
1661,?act=community&do=detail&id=1475&reg_num=1661,Пробуда 1929,СЕЛО ХИТРИНО,ХИТРИНО,ШУМЕН
1662,?act=community&do=detail&id=1476&reg_num=1662,Светлина - Царевец 1927,СЕЛО ЦАРЕВЕЦ,СВИЩОВ,ВЕЛИКО ТЪРНОВО
1663,?act=community&do=detail&id=1477&reg_num=1663,Зора (закрито),СЕЛО ГРАДИНА,ПЪРВОМАЙ,ПЛОВДИВ
1664,?act=community&do=detail&id=3226&reg_num=1664,Светлина-1919 г.,СЕЛО ЛОЗЕН,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1665,?act=community&do=detail&id=1478&reg_num=1665,Светлина -1927,СЕЛО ТЪНКОВО,СТАМБОЛОВО,ХАСКОВО
1666,?act=community&do=detail&id=1479&reg_num=1666,Надежда 1902,СЕЛО КОЗАР БЕЛЕНЕ,ЛЕВСКИ,ПЛЕВЕН
1667,?act=community&do=detail&id=1480&reg_num=1667,Народно читалище Напредък- 1897,СЕЛО ПОПИЦА,БЯЛА СЛАТИНА,ВРАЦА
1668,?act=community&do=detail&id=1481&reg_num=1668,Васил Левски-1975,СЕЛО БЕЛИ ПЛАСТ,КЪРДЖАЛИ,КЪРДЖАЛИ
1669,?act=community&do=detail&id=1482&reg_num=1669,Просвета -1929,СЕЛО ЖИЛИНО,НОВИ ПАЗАР,ШУМЕН
1670,?act=community&do=detail&id=1483&reg_num=1670,Отец Паисий -1928,СЕЛО ИЗБУЛ,НОВИ ПАЗАР,ШУМЕН
1671,?act=community&do=detail&id=1484&reg_num=1671,Васил Левски-1895,СЕЛО ЕНЕВО,НОВИ ПАЗАР,ШУМЕН
1672,?act=community&do=detail&id=1485&reg_num=1672,Пробуда 1921,СЕЛО ПРАВЕНЦИ,НОВИ ПАЗАР,ШУМЕН
