Номер,Линк,Име на читалище,Град/село,Община,Област
0,https://?act=community&do=detail&id=3666&reg_num=0,тест,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1,https://?act=community&do=detail&id=2846&reg_num=1,Съзнание 1873г.,СЕЛО БРЕСТОВИЦА,РОДОПИ,ПЛОВДИВ
2,https://?act=community&do=detail&id=2847&reg_num=2,Иван Вазов-1871,ГРАД СОПОТ,СОПОТ,ПЛОВДИВ
3,https://?act=community&do=detail&id=3&reg_num=3,Прогрес 1939,СЕЛО СТАРЦЕВО,ЗЛАТОГРАД,СМОЛЯН
4,https://?act=community&do=detail&id=4&reg_num=4,Петър Богдан Бакшев -1909,ГРАД РАКОВСКИ,РАКОВСКИ,ПЛОВДИВ
5,https://?act=community&do=detail&id=5&reg_num=5,Христо Ботев 1930 г. - с. Стряма,СЕЛО СТРЯМА,РАКОВСКИ,ПЛОВДИВ
6,https://?act=community&do=detail&id=6&reg_num=6,Зора,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
7,https://?act=community&do=detail&id=7&reg_num=7,Съгласие-1890,ГРАД КАВАРНА,КАВАРНА,ДОБРИЧ
8,https://?act=community&do=detail&id=8&reg_num=8,Братство 1869,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
9,https://?act=community&do=detail&id=9&reg_num=9,Христо Ботев - 1892,ГРАД БЕЛЕНЕ,БЕЛЕНЕ,ПЛЕВЕН
10,https://?act=community&do=detail&id=10&reg_num=10,Никола Йонков Вапцаров -1924 г.,ГРАД СТАМБОЛИЙСКИ,СТАМБОЛИЙСКИ,ПЛОВДИВ
11,https://?act=community&do=detail&id=11&reg_num=11,Зора 1894,ГРАД ШАБЛА,ШАБЛА,ДОБРИЧ
12,https://?act=community&do=detail&id=12&reg_num=12,Боян Пенев-1949,ГРАД ШУМЕН,ШУМЕН,ШУМЕН
13,https://?act=community&do=detail&id=13&reg_num=13,Никола Йонков Вапцаров-1866,ГРАД БЛАГОЕВГРАД,БЛАГОЕВГРАД,БЛАГОЕВГРАД
14,https://?act=community&do=detail&id=14&reg_num=14,Христо Смирненски -1904 г.,ГРАД ВЕТРЕН,СЕПТЕМВРИ,ПАЗАРДЖИК
15,https://?act=community&do=detail&id=15&reg_num=15,Искра 1975,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
16,https://?act=community&do=detail&id=16&reg_num=16,Младост -1983 г.,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
17,https://?act=community&do=detail&id=17&reg_num=17,Йордан Йовков-1870 година,ГРАД ДОБРИЧ,ДОБРИЧ,ДОБРИЧ
18,https://?act=community&do=detail&id=18&reg_num=18,Паисий Хилендарски -1870,ГРАД БАЛЧИК,БАЛЧИК,ДОБРИЧ
19,https://?act=community&do=detail&id=19&reg_num=19,Просвета-1865,ГРАД ГОЦЕ ДЕЛЧЕВ,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
20,https://?act=community&do=detail&id=2855&reg_num=20,Христо Ботев-1911,СЕЛО ЧЕРВЕН БРЕГ,ДУПНИЦА,КЮСТЕНДИЛ
21,https://?act=community&do=detail&id=20&reg_num=21,Орфееви гори -1870,ГРАД СМОЛЯН,СМОЛЯН,СМОЛЯН
22,https://?act=community&do=detail&id=21&reg_num=22,Виделина-1862,ГРАД ПАЗАРДЖИК,ПАЗАРДЖИК,ПАЗАРДЖИК
23,https://?act=community&do=detail&id=22&reg_num=23,Св.Св.Кирил и Методий -1894г.- гр. Първомай,ГРАД ПЪРВОМАЙ,ПЪРВОМАЙ,ПЛОВДИВ
24,https://?act=community&do=detail&id=2856&reg_num=24,Пробуда -1896 г.,СЕЛО ПОБЕДА,ДОБРИЧКА,ДОБРИЧ
25,https://?act=community&do=detail&id=23&reg_num=25,Васил Левски -1938,СЕЛО УСОЙКА,БОБОШЕВО,КЮСТЕНДИЛ
26,https://?act=community&do=detail&id=24&reg_num=26,Просвета-1931,СЕЛО НОВАКОВЦИ,ГАБРОВО,ГАБРОВО
27,https://?act=community&do=detail&id=25&reg_num=27,Яна Лъскова -1905,ГРАД НЕСЕБЪР,НЕСЕБЪР,БУРГАС
28,https://?act=community&do=detail&id=26&reg_num=28,Напредък -1869,ГРАД ШУМЕН,ШУМЕН,ШУМЕН
29,https://?act=community&do=detail&id=27&reg_num=29,Шалом Алейхем -1945 г.,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
30,https://?act=community&do=detail&id=28&reg_num=30,Иван Вазов -1904 гр. Хисаря,ГРАД ХИСАРЯ,ХИСАРЯ,ПЛОВДИВ
31,https://?act=community&do=detail&id=29&reg_num=31,Пробуда 1927,СЕЛО САМОРАНОВО,ДУПНИЦА,КЮСТЕНДИЛ
32,https://?act=community&do=detail&id=30&reg_num=32,Пейо Крачолов Яворов-1978,ГРАД ДУПНИЦА,ДУПНИЦА,КЮСТЕНДИЛ
33,https://?act=community&do=detail&id=31&reg_num=33,Пенчо Славейков 1871,ГРАД ТРЯВНА,ТРЯВНА,ГАБРОВО
34,https://?act=community&do=detail&id=32&reg_num=34,Напредък -1904г.-с. Устина,СЕЛО УСТИНА,РОДОПИ,ПЛОВДИВ
35,https://?act=community&do=detail&id=33&reg_num=35,Отец Паисий -1876 г.- гр. Брезово,ГРАД БРЕЗОВО,БРЕЗОВО,ПЛОВДИВ
36,https://?act=community&do=detail&id=2857&reg_num=36,Пробуждане-1898 г.,СЕЛО ЛОМНИЦА,ДОБРИЧКА,ДОБРИЧ
37,https://?act=community&do=detail&id=2858&reg_num=37,Христо Ботев-1941г.,СЕЛО КОЗЛОДУЙЦИ,ДОБРИЧКА,ДОБРИЧ
38,https://?act=community&do=detail&id=2859&reg_num=38,Васил Левски-1941г.,СЕЛО ТЯНЕВО,ДОБРИЧКА,ДОБРИЧ
39,https://?act=community&do=detail&id=34&reg_num=39,Йордан Йовков -1941г.,СЕЛО ЗМЕЕВО,БАЛЧИК,ДОБРИЧ
3731,https://?act=community&do=detail&id=3761&reg_num=3731,Център - 2023,ГРАД ПЕТРИЧ,ПЕТРИЧ,БЛАГОЕВГРАД
3732,https://?act=community&do=detail&id=3762&reg_num=3732,Пролет 2023,СЕЛО ГОРНО КИРКОВО,КИРКОВО,КЪРДЖАЛИ
3733,https://?act=community&do=detail&id=3763&reg_num=3733,Родопски пламък - 2023 г.,СЕЛО ЧУРЕН,РОДОПИ,ПЛОВДИВ
3734,https://?act=community&do=detail&id=3764&reg_num=3734,Джерово - 2023,СЕЛО ДЖЕРОВО,КИРКОВО,КЪРДЖАЛИ
3735,https://?act=community&do=detail&id=3765&reg_num=3735,Отец Паисий 2023,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3736,https://?act=community&do=detail&id=3766&reg_num=3736,Добри Чинтулов - 2023,СЕЛО ГОРНО КЪПИНОВО,КИРКОВО,КЪРДЖАЛИ
3611,https://?act=community&do=detail&id=3637&reg_num=3611,Месемврия - 2015,ГРАД НЕСЕБЪР,НЕСЕБЪР,БУРГАС
3612,https://?act=community&do=detail&id=3638&reg_num=3612,Тракия - 2015,ГРАД БУРГАС,БУРГАС,БУРГАС
