Статус,Регистрационен №,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Връзка към сайт библиотеки,Телефон,Факс,E-mail,Председател,Секретар
Действащо,2,"""Иван Вазов-1871""",ПЛОВДИВ,,ГРАД СОПОТ,"""Иван,Вазов"",53,,п.к.4330",000455913,http://bibliobg.com/index.php?act=community&do=detail&hash=407812c0014666513faa9af0ee8745960aeb8a31,0893542266,-,chit_sopot@abv.bg,Антонина Цочева Цочева,Диана Стоева Кушева
Действащо,1,"""Съзнание 1873г.""",ПЛОВДИВ,,СЕЛО БРЕСТОВИЦА,"Пл.""Съединение"",1,А,,п.к.4224",000455980,http://bibliobg.com/index.php?act=community&do=detail&hash=2e91095d55e125cd307587cf04837115c77e1f89,"03142, 9118, 0897674976",,"ch_saznanie@yahoo.com, ch_saznanie@abv.bg",Здравка Веселинова Мерджанова,Мария Иванова Банджакова
Действащо,11,"""Зора 1894""",ДОБРИЧ,,ГРАД ШАБЛА,"""Равно,поле"",36,,п.к.9680",000843043,http://bibliobg.com/index.php?act=community&do=detail&hash=b1f3cac40ab283f802b913d63c7ae97c7f06e756,"05743, 4028",-,nch_zora1894@abv.bg,Даниела Железова Кючукова,Георги Стефанов Георгиев
Действащо,10,"""Никола Йонков Вапцаров -1924 г.""",ПЛОВДИВ,,ГРАД СТАМБОЛИЙСКИ,"„Заводска”,15,,п.к.4210",000455717,http://bibliobg.com/index.php?act=community&do=detail&hash=1518ed1433820382b51a1e878e1c8a2053a5894e,"0339, 62235",-,n_vaptzarov@abv.bg,Любомир Грозданов Марков,Жанета Рангелова Иванова
Действащо,9,"""Христо Ботев - 1892""",ПЛЕВЕН,,ГРАД БЕЛЕНЕ,"пл.,""България"",1,,п.к.5930",000403866,http://bibliobg.com/index.php?act=community&do=detail&hash=c822f1156437918e5155303ea8acf026b061b26f,"0658, 36996, 0658, 31343, 0887859843, 0879404047","0658, 31343",ic.belene@gmail.com,Цветана Парашкевова Врайкова,Евелина Иванова Михова
Действащо,8,"""Братство 1869""",КЮСТЕНДИЛ,,ГРАД КЮСТЕНДИЛ,"""Отец,Паисий"",11,,п.к.2500",000253021,http://bibliobg.com/index.php?act=community&do=detail&hash=c35143b3fe101addb129141ec346b042c7be4440,"078, 526395, 0887651034","078/, 529195",chitalishte@bratstvokn.org,Иван Манолов Андонов,Людмила Василева Христова
Действащо,7,"""Съгласие-1890""",ДОБРИЧ,,ГРАД КАВАРНА,"""Добротица"",24,,п.к.9650",124134877,http://bibliobg.com/index.php?act=community&do=detail&hash=00f72ae4e01fd9c6fd1147dbbc673a9d286535ae,"0570, 82077","0570/, 82077",nch_saglasie@abv.bg,Мария Маринова Костадинова,Ивелина Любомирова Павлова
Неработещо,6,Зора,ПЛОВДИВ,,ГРАД ПЛОВДИВ,кв.Столипиново,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Назми Якуб Исуф,
Действащо,5,"""Христо Ботев 1930 г. - с. Стряма""",ПЛОВДИВ,,СЕЛО СТРЯМА,"""Васил,Левски"",40,,п.к.4142",000457814,http://bibliobg.com/index.php?act=community&do=detail&hash=86718ce01ceff24911a14d83ff13714eac45889e,0878780102,-,chitalishte_s.stryama@abv.bg,Ангелина Петкова Трифонова,Стоянка Георгиева Чучулска
Действащо,12,"""Боян Пенев-1949""",ШУМЕН,,ГРАД ШУМЕН,"""Одрин"",12,,ж.к.""Тракия"",,п.к.9700",000923183,http://bibliobg.com/index.php?act=community&do=detail&hash=6cd7c0ecc7c01117c10e2b111692d745364a1268,"054, 868941, 0877602870",-,boqnpenev@abv.bg,Виолета Василева Папазова,Зорница Наскова Захариева
Действащо,15,"""Искра 1975""",КЮСТЕНДИЛ,,ГРАД КЮСТЕНДИЛ,"""Асен,Златаров"",36,,п.к.,2500",000255257,http://bibliobg.com/index.php?act=community&do=detail&hash=0916963871ce97721fd5e863f7bfe306d9244751,"0895737871, 0898380621",-,nch_iskra@abv.bg,Людмила Йорданова Стоянова,Гергана Боянова Борисова
Закрито,0,тест,СОФИЯ-ГРАД,,ГРАД СОФИЯ,тест,00000000,http://bibliobg.com/index.php?act=community&do=detail&hash=70352f41061eda4ff3c322094af068ba70c3b38b,00000000,00000000,psavov@pimdesign.org,тест,тест
Действащо,16,"""Младост -1983 г.""",ПЛОВДИВ,,ГРАД ПЛОВДИВ,"ж.к.,“Тракия”,,бл.,22,,п.к.4023",000460162,http://bibliobg.com/index.php?act=community&do=detail&hash=cee23b6548afa0b165a77544f2a59b34ea752210,0888487232,-,mladost83@abv.bg,Екатерина Атанасова Каблешкова,Елена Ангелова Апостолова
Действащо,13,"""Никола Йонков Вапцаров-1866""",БЛАГОЕВГРАД,,ГРАД БЛАГОЕВГРАД,"пл.""Македония""1,,п.к.,2700",000014434,http://bibliobg.com/index.php?act=community&do=detail&hash=bf3ba953e0132766b506f6634a48955fd476e3b3,"0878, 54, 56, 10",-,chit_bl@abv.bg,Васил Иванов Новоселски,Илиян Юручки
Действащо,14,"""Христо Смирненски -1904 г.""",ПАЗАРДЖИК,,ГРАД ВЕТРЕН,"""Петдесета"",120,,п.к.4480",000343401,http://bibliobg.com/index.php?act=community&do=detail&hash=bb04a6beaf8461d020907e0d1da323f38e1583c0,"0897322118, 0897934322",-,chitalishte_vetren@abv.bg,Радослев Иванов Лютаков,Петя Дишкова
Действащо,3719,"""Пробуждане - 2022""",КЮСТЕНДИЛ,,СЕЛО ШИПОЧАНО,п.к.2552,207027945,http://bibliobg.com/index.php?act=community&do=detail&hash=10e9d0fa85af7db91e91c597491ba659c4f9281b,0886606536,-,chitalishte_probuzhdane2022@abv.bg,Ирина Красимирова Йовчева,-
Действащо,3678,"""Бохемия 2018""",ВАРНА,,ГРАД ВАРНА,"""Свети,Климент"",18б,,р-н,Одесос,п.к.,9000",205532144,http://bibliobg.com/index.php?act=community&do=detail&hash=734aef429b14060e6f299349ff211ac91b8b7622,0889254595,-,,Николай Стоянов Колишев,Ангел Йорданов Киряков
Действащо,3690,"""Нова светлина 2019""",БУРГАС,,СЕЛО МРЕЖИЧКО,п.к.8538,205990177,http://bibliobg.com/index.php?act=community&do=detail&hash=6415bfb27db1f2927f17f52b92d43644d5f5b710,,0884-96-57-97,novasvetlina2019@abv.bg,Хазиме Шабан Юсуф,Хюлия Ремзи Юнуз
Действащо,3650,"""Възраждане - 2017""",СИЛИСТРА,,СЕЛО СИТОВО,"""Христо,Ботев"",9,,п.к.,7583",177186814,http://bibliobg.com/index.php?act=community&do=detail&hash=f1b4800bfa7050b5097f063ddfef7dcf307e1e4f,"0884484126, 0893778540, 0887337528",-,vuzrajdane2017_sitovo@abv.bg,Станчо Борисов Арсов,Радка Здравкова Карарадова
Действащо,3648,"""Развитие-Пенчо Дамянов-2017""",ГАБРОВО,,СЕЛО КОПЧЕЛИИТЕ,п.к.5342,177180462,http://bibliobg.com/index.php?act=community&do=detail&hash=1ba9a40b956b81e4575b3fb5e830c86c8161e878,0898345100,-,chitaliste_kopchelii@abv.bg,Румяна Стефанова Цонева,Росен Маринов Радев
Действащо,3649,"""Паисий Хилендарски - 2017""",КЮСТЕНДИЛ,,ГРАД БОБОВ ДОЛ,"""Свилен,Русев"",бл.57,,вх.,А,ет.,1,,ап.2,,п.к.2670",177157677,http://bibliobg.com/index.php?act=community&do=detail&hash=90a9d2790d32cdde1208c930a00132b6ae23b13a,0893653520,-,n.c.hilendarskibd@abv.bg,Валери Тимотеев Радлев,-
Действащо,3646,"""Стоян Заимов 2016""",СТАРА ЗАГОРА,,СЕЛО СТОЯН-ЗАИМОВО,"п.к.,6243",177140432,http://bibliobg.com/index.php?act=community&do=detail&hash=e794637d1c7a4c4f9051a36829052d9b46f496bc,041335215,-,gnikolaev1379@abv.bg,Георги Тодоров Николаев,-
Действащо,3647,"""Устрем 2017""",ХАСКОВО,,ГРАД ДИМИТРОВГРАД,"""Владимир,Поптомов"",2,,п.к.6400",177168442,http://bibliobg.com/index.php?act=community&do=detail&hash=0d86cfbc68987dd4f216a04927e61ea24718056e,0887758787,-,megan_dqkova@abv.bg,Павел Грозев Дяков,Даниела Русева Русева
Действащо,3645,"""Христо Ботев - 2016""",МОНТАНА,,СЕЛО СЛАТИНА,"""Георги,Димитров"",20,,п.к.3535",177149940,http://bibliobg.com/index.php?act=community&do=detail&hash=a01cbefde790f5c77b0494cbb3c8a0a72fc56eb2,"0885782159, 0884907788",-,nch_hr.botev@abv.bg,Павлина Николова Георгиева,Албена Каменова Ангелова
Действащо,3644,"""Пламък  2016""",ВЕЛИКО ТЪРНОВО,,ГРАД ВЕЛИКО ТЪРНОВО,"""П.Р.Славейков"",17,,п.к.,5000",177143923,http://bibliobg.com/index.php?act=community&do=detail&hash=2c0113e15874655eaa2a2575639aed8bf83a5269,"0894407595, 0886499016",-,p.penkov_vt@abv.bg,Пенко Петров Пенков,-
Действащо,3643,"""Възраждане - 2016""",СОФИЯ,,СЕЛО ПРОДАНОВЦИ,п.к.2007,177036992,http://bibliobg.com/index.php?act=community&do=detail&hash=c4d6908fc3bd3ec2a0d0533cfa37cd6a3eef5a40,0878445600,-,"lobutova_1988elica@abv.bg, pepa_kajmakanova@abv.bg",Ангел Иванов Валявичарски,Елица Александрова Лобутова
Действащо,3569,"""Развитие-1918""",ВЕЛИКО ТЪРНОВО,,СЕЛО БУКОВЕЦ,п.к.5063,176632361,http://bibliobg.com/index.php?act=community&do=detail&hash=e712e5f27181f255d7634fcfe93c3812033d6362,0888213979,-,nelly_ge@abv.bg,Цветан Тончев Пенев,Нели Димитрова
